date_dt,province,confirmed,deaths,recovered,Lat,Long,size
0,2020-01-22," Montreal, QC",0,0,0,45.5017,-73.5673,0.0
1,2020-01-22,Anhui,1,0,0,31.8257,117.2264,1.0
2,2020-01-22,Beijing,14,0,0,40.1824,116.4142,3.7416573867739413
3,2020-01-22,"Boston, MA",0,0,0,42.3601,-71.0589,0.0
4,2020-01-22,British Columbia,0,0,0,49.2827,-123.1207,0.0
5,2020-01-22,Chongqing,6,0,0,30.0572,107.874,2.449489742783178
6,2020-01-22,"Cook County, IL",0,0,0,41.8781,-87.6298,0.0
7,2020-01-22,Diamond Princess cruise ship,0,0,0,35.4437,139.638,0.0
8,2020-01-22,From Diamond Princess,0,0,0,35.4437,139.638,0.0
9,2020-01-22,Fujian,1,0,0,26.0789,117.9874,1.0
10,2020-01-22,Gansu,0,0,0,36.0611,103.8343,0.0
11,2020-01-22,"Grafton County, NH",0,0,0,43.9088,-71.82600000000001,0.0
12,2020-01-22,Guangdong,26,0,0,23.3417,113.4244,5.0990195135927845
13,2020-01-22,Guangxi,2,0,0,23.8298,108.7881,1.4142135623730951
14,2020-01-22,Guizhou,1,0,0,26.8154,106.8748,1.0
15,2020-01-22,Hainan,4,0,0,19.1959,109.7453,2.0
16,2020-01-22,Hebei,1,0,0,38.0428,114.5149,1.0
17,2020-01-22,Heilongjiang,0,0,0,47.861999999999995,127.7615,0.0
18,2020-01-22,Henan,5,0,0,33.882020000000004,113.61399999999999,2.23606797749979
19,2020-01-22,"Hillsborough, FL",0,0,0,27.9904,-82.3018,0.0
20,2020-01-22,Hong Kong,0,0,0,22.3,114.2,0.0
21,2020-01-22,Hubei,444,17,28,30.9756,112.2707,21.071307505705477
22,2020-01-22,"Humboldt County, CA",0,0,0,40.745,-123.8695,0.0
23,2020-01-22,Hunan,4,0,0,27.6104,111.7088,2.0
24,2020-01-22,Inner Mongolia,0,0,0,44.0935,113.9448,0.0
25,2020-01-22,Jiangsu,1,0,0,32.9711,119.455,1.0
26,2020-01-22,Jiangxi,2,0,0,27.614,115.7221,1.4142135623730951
27,2020-01-22,Jilin,0,0,0,43.6661,126.1923,0.0
28,2020-01-22,"King County, WA",1,0,0,47.6062,-122.3321,1.0
29,2020-01-22,"Lackland, TX (From Diamond Princess)",0,0,0,29.3829,-98.6134,0.0
30,2020-01-22,Liaoning,2,0,0,41.2956,122.6085,1.4142135623730951
31,2020-01-22,"London, ON",0,0,0,42.9849,-81.2453,0.0
32,2020-01-22,"Los Angeles, CA",0,0,0,34.0522,-118.2437,0.0
33,2020-01-22,Macau,1,0,0,22.1667,113.55,1.0
34,2020-01-22,"Madison, WI",0,0,0,43.0731,-89.4012,0.0
35,2020-01-22,New South Wales,0,0,0,-33.8688,151.2093,0.0
36,2020-01-22,"New York City, NY",0,0,0,40.7128,-74.006,0.0
37,2020-01-22,Ningxia,1,0,0,37.2692,106.1655,1.0
38,2020-01-22,"Omaha, NE (From Diamond Princess)",0,0,0,41.2545,-95.9758,0.0
39,2020-01-22,"Orange, CA",0,0,0,33.7879,-117.8531,0.0
40,2020-01-22,"Placer County, CA",0,0,0,39.0916,-120.8039,0.0
41,2020-01-22,"Portland, OR",0,0,0,45.5051,-122.675,0.0
42,2020-01-22,"Providence, RI",0,0,0,41.824,-71.4128,0.0
43,2020-01-22,Qinghai,0,0,0,35.7452,95.9956,0.0
44,2020-01-22,Queensland,0,0,0,-28.0167,153.4,0.0
45,2020-01-22,"Sacramento County, CA",0,0,0,38.4747,-121.3542,0.0
46,2020-01-22,"San Antonio, TX",0,0,0,29.4241,-98.4936,0.0
47,2020-01-22,"San Benito, CA",0,0,0,36.5761,-120.9876,0.0
48,2020-01-22,"San Diego County, CA",0,0,0,32.7157,-117.1611,0.0
49,2020-01-22,"San Mateo, CA",0,0,0,37.563,-122.3255,0.0
50,2020-01-22,"Santa Clara, CA",0,0,0,37.3541,-121.9552,0.0
51,2020-01-22,"Sarasota, FL",0,0,0,27.3364,-82.5307,0.0
52,2020-01-22,Shaanxi,0,0,0,35.1917,108.8701,0.0
53,2020-01-22,Shandong,2,0,0,36.3427,118.1498,1.4142135623730951
54,2020-01-22,Shanghai,9,0,0,31.201999999999998,121.4491,3.0
55,2020-01-22,Shanxi,1,0,0,37.5777,112.2922,1.0
56,2020-01-22,Sichuan,5,0,0,30.6171,102.7103,2.23606797749979
57,2020-01-22,"Snohomish County, WA",0,0,0,48.033,-121.8339,0.0
58,2020-01-22,"Sonoma County, CA",0,0,0,38.578,-122.9888,0.0
59,2020-01-22,South Australia,0,0,0,-34.9285,138.6007,0.0
60,2020-01-22,Taiwan,1,0,0,23.7,121.0,1.0
61,2020-01-22,Tasmania,0,0,0,-41.4545,145.9707,0.0
62,2020-01-22,"Tempe, AZ",0,0,0,33.4255,-111.94,0.0
63,2020-01-22,Tianjin,4,0,0,39.3054,117.323,2.0
64,2020-01-22,Tibet,0,0,0,31.6927,88.0924,0.0
65,2020-01-22,"Toronto, ON",0,0,0,43.6532,-79.3832,0.0
66,2020-01-22,"Travis, CA (From Diamond Princess)",0,0,0,38.2721,-121.9399,0.0
67,2020-01-22,"Umatilla, OR",0,0,0,45.775,-118.7606,0.0
68,2020-01-22,Unassigned Location (From Diamond Princess),0,0,0,35.4437,139.638,0.0
69,2020-01-22,Victoria,0,0,0,-37.8136,144.9631,0.0
70,2020-01-22,Western Australia,0,0,0,-31.9505,115.8605,0.0
71,2020-01-22,Xinjiang,0,0,0,41.1129,85.2401,0.0
72,2020-01-22,Yunnan,1,0,0,24.974,101.48700000000001,1.0
73,2020-01-22,Zhejiang,10,0,0,29.1832,120.0934,3.1622776601683795
74,2020-01-23," Montreal, QC",0,0,0,45.5017,-73.5673,0.0
75,2020-01-23,Anhui,9,0,0,31.8257,117.2264,3.0
76,2020-01-23,Beijing,22,0,0,40.1824,116.4142,4.69041575982343
77,2020-01-23,"Boston, MA",0,0,0,42.3601,-71.0589,0.0
78,2020-01-23,British Columbia,0,0,0,49.2827,-123.1207,0.0
79,2020-01-23,Chongqing,9,0,0,30.0572,107.874,3.0
80,2020-01-23,"Cook County, IL",0,0,0,41.8781,-87.6298,0.0
81,2020-01-23,Diamond Princess cruise ship,0,0,0,35.4437,139.638,0.0
82,2020-01-23,From Diamond Princess,0,0,0,35.4437,139.638,0.0
